item,MR1,MR2,MR3,MR4,MR5,assigned_dimension,strongest_factor
q5e_clean_store,0.04325212023139881,-0.027700548120783264,0.027741395574705806,-0.006394434185707079,0.5381588667417798,Convenience,MR5
q5e_quick_easy_shop,-0.042123100539673095,0.013055270417797513,-0.02414512247069229,0.012369118661349349,0.5793943029487515,Convenience,MR5
q5e_accurate_web_prices,-0.027398337629814078,0.5612421927501142,-0.04630102295712301,-0.044635816191603964,0.03610089657768753,Digital,MR2
q5e_curbside_pickup,0.019045522154611572,0.5718650487268082,0.04567684576644905,0.023555832803497396,-0.025595251069699433,Digital,MR2
q5e_delivery,-0.03723134708000658,0.6133423779997619,-0.027896116933550357,0.013928911950391708,-0.035066614601856734,Digital,MR2
q5e_loyalty_program,0.014363994531330311,0.4906984082675234,0.02105602331392584,0.0220897546084352,0.025830848579967487,Digital,MR2
q5e_store_app,0.03524061894327972,0.5744279291092559,0.01949700793109782,-0.006777742087516861,0.02029922646778313,Digital,MR2
q5e_everyday_low_prices,0.5844049201792756,0.030350389613126676,0.0434360672571203,0.003957761498301221,0.0069650728978342645,Price,MR1
q5e_frequent_promotions,0.5640633093204088,0.015545989097882046,0.049309847977398735,0.017275127000273345,-0.0157756785086211,Price,MR1
q5e_low_receipt_total,0.5346897465965833,0.007197704812844479,0.09069749376011746,-0.04246892811440837,7.537478462433835e-4,Price,MR1
q5e_store_coupons,0.5383445210441308,0.0019356173680259011,0.053609758510740346,0.03890071462061616,0.0014793128894970593,Price,MR1
q5e_weekly_ads,0.5748070811580027,-0.020221475751481637,0.053997362550438514,0.044104266033176735,-0.011788364770560666,Price,MR1
q5e_meat_quality,0.04255127641508343,-0.021570654276946967,0.5930070065366536,-0.022593174293926144,-0.024908575416732175,Quality,MR3
q5e_produce_quality,0.02187117512162103,0.01967616551768948,0.5484861994123827,0.027171308562577618,-0.002347145549961236,Quality,MR3
q5e_product_quality,0.0796440247995009,0.011661602914602017,0.5875044643094235,0.004078752736681684,0.012683764052418917,Quality,MR3
q5e_store_brand_quality,0.03077062061976623,0.007983341785558599,0.5219433784979695,0.031849196966706864,-0.014543314377412036,Quality,MR3
q5e_fresh_service_depts,0.04138132989300266,0.008135731722503007,0.022914173898519102,0.43245056452716396,-0.021937585675152842,Selection,MR4
q5e_national_brand_selection,0.02431746099230915,0.0014957963965359488,0.004778187238117937,0.5062899763545535,-0.016908614714477223,Selection,MR4
q5e_one_stop_shop,0.010276218504656875,0.013368633599738708,-0.013700265471137178,0.5069581929851658,0.031734192932237754,Selection,MR4
q5e_product_selection,0.0018366723243999458,-0.026502134506260357,0.0070452767614554625,0.5179379742292802,-0.0022831660098771855,Selection,MR4
q5e_store_brand_selection,-0.022666099571112083,0.00798191082857508,-0.036962854233690674,0.5537547005826499,0.009118482108862545,Selection,MR4
newq3_prefers_edlp,-0.33078950786115807,0.018170161231035792,-0.060270419103112725,-0.011625240175078029,-0.013138779050912468,derived measure,MR1
newq4_focus_key_items,-0.31094021624955637,8.540290962783257e-4,0.007965987233949182,-0.015189390627276913,-0.004775407309482465,derived measure,MR1
q14_share_lowest_price,0.574331226551978,0.017297187605949636,-0.484980884296016,-0.03208867139358735,0.004918771260335943,derived measure,MR1
q5a_best_value_importance,0.2771089731537312,-0.009898315074492015,0.1643101059039054,-0.022322599349942594,0.10293150370785674,derived measure,MR1
q7_compare_ads,0.4083471123797927,-0.029315615023952475,0.0464171632890915,-0.06458078069304467,2.1377629005183557e-4,derived measure,MR1
q7_compare_digital,0.007091266033582415,0.4195927138497907,0.037054198233771915,-0.009795654124020154,-0.032467499416637534,derived measure,MR2
q7_compare_own,0.07664037661771173,-0.005484919453167499,0.09381888507109831,-0.0324284802959226,-0.024852019912297536,derived measure,MR3
q7_compare_social,-0.021026383076362128,0.13288024364269085,-0.012302797342409244,0.0017142419167009981,0.11690239345176225,derived measure,MR2
q8a_regular_focused,0.009413878758529727,0.0018109005073671837,0.29554891671024625,0.017341825303365112,0.07990552298384603,derived measure,MR3
q8a_sale_focused,0.36086714777823664,0.037553823773650935,0.04041134548349539,-0.01573097731976727,0.07312364754416398,derived measure,MR1
