respondent_id,wave,Price_z,Quality_z,Digital_z,Selection_z,Convenience_z,segment,assignment_margin,income_band,age_band,kids_flag,gender_cat
201141,2021,0.4213950897611829,-0.7155571740235633,-0.9272566239905071,0.7517189035212083,0.9609618401155531,Convenience,0.20924293659434479,$25K to $49K,57-65,No kids < 18,Female
101850,2025,-0.12601066121826301,-0.0488565849857612,-0.7556291421912924,-0.3660085313230623,-0.40529413717056406,Quality,0.07715407623250181,$75K to $99K,25-36,Have kids < 18,Female
100733,2025,-1.2045560077188342,-0.05827328838199221,0.6296749636121464,-0.543722582666757,-0.8532809858831885,Digital,0.6879482519941386,$100K to $124K,57-65,Have kids < 18,Male
100284,2025,0.24377837419520393,-0.5182347219643425,1.338701789450695,-0.31212115260812867,1.4089486888281777,Convenience,0.07024689937748274,$25K to $49K,18-24,Have kids < 18,Male
101494,2025,-0.46862034908631023,-0.7251992031753552,0.23511234762374356,0.9403953227751163,-0.39786232678781613,Selection,0.7052829751513727,$50K to $74K,66+,No kids < 18,Male
100718,2025,-0.25618226914111464,0.8259950210572042,1.338701789450695,0.9377159845009593,1.4089486888281777,Convenience,0.07024689937748274,$75K to $99K,18-24,No kids < 18,Male
101602,2025,-0.6586040291866905,-0.726160413213945,-0.5748465285912422,-1.0909827550238642,0.057556332307556246,Convenience,0.6324028608987984,$50K to $74K,66+,No kids < 18,Female
101528,2025,0.6410288262748757,0.6065048805786304,0.4555981194826318,0.008581589119362232,-0.8458491755004406,Price,0.034523945696245284,$75K to $99K,18-24,Have kids < 18,Male
100841,2025,0.24075956061633244,1.0545339227904948,0.6348032970595482,-0.3009053871568783,0.050124521924808346,Quality,0.41973062573094666,$100K to $124K,37-56,Have kids < 18,Male
101430,2025,-0.2896839573312797,-0.27680221882197636,-1.2818853851798784,-0.725472867805024,0.5055431810201807,Convenience,0.782345399842157,$50K to $74K,37-56,No kids < 18,Female
101083,2025,0.6051282394652372,1.0554951328290845,0.2948964622893582,0.010015818905207552,-1.7566864936911855,Quality,0.4503668933638473,$100K to $124K,25-36,Have kids < 18,Female
101532,2025,-0.658063095788371,0.6190305398461915,-0.4023326126360832,0.19941053101211248,-1.301267834595813,Quality,0.419620008834079,$100K to $124K,66+,No kids < 18,Male
100035,2025,0.9515105775490584,-0.9323890101419289,-0.7732098764141607,0.3875493053775251,0.9535300297328052,Convenience,0.0020194521837467727,$100K to $124K,18-24,Have kids < 18,Male
200209,2021,0.06741008338804941,-0.9331248944249577,-0.7819181229833871,0.19941053101211248,-0.8532809858831885,Selection,0.13200044762406307,$25K to $49K,66+,No kids < 18,Female
200155,2021,-0.3045288020462329,-0.7142280218434591,0.02363833859586069,0.38095202142660817,0.5129749914029287,Convenience,0.13202296997632051,$100K to $124K,25-36,Have kids < 18,Male
200012,2021,1.3131884729788283,-0.9446893436539292,0.9840730282613239,-0.17697178768258154,-0.39786232678781613,Price,0.3291154447175044,$25K to $49K,37-56,Have kids < 18,Female
100096,2025,-0.4774275666435205,0.5955336992467343,0.2790584929274306,1.122997128547862,0.5055431810201807,Selection,0.5274634293011277,$50K to $74K,25-36,No kids < 18,Female
101930,2025,0.24444199006478232,0.596494909285324,-1.2867975299358647,-0.17294395533396237,0.9535300297328052,Convenience,0.3570351204474812,$50K to $74K,57-65,No kids < 18,Male
200404,2021,-0.6545033488111799,-1.162625006196838,-0.06622187967913311,-1.4700444119927152,0.9609618401155531,Convenience,1.0271837197946863,Under $25K,66+,No kids < 18,Male
101326,2025,0.4260691652389478,1.2734307953719934,-0.5846563102544369,0.1938627331662649,-0.39786232678781613,Quality,0.8473616301330457,$50K to $74K,18-24,Have kids < 18,Other or not stated
200501,2021,-0.11065734480892502,0.16944701969866205,-0.42670214402372375,0.37583198179739674,1.4089486888281777,Convenience,1.033116707030781,$150K plus,57-65,Have kids < 18,Female
200959,2021,-0.8406819169918515,0.39917245722610323,-0.753821009627965,-0.7285101745456051,0.9535300297328052,Convenience,0.554357572506702,$75K to $99K,57-65,No kids < 18,Female
200423,2021,0.057026410912278135,-0.517866779822828,-1.8103602939585703,0.9346269849673029,0.06498814269030417,Selection,0.8696388422769987,$150K plus,37-56,Have kids < 18,Male
201123,2021,0.6052184602325613,0.836598260247586,-0.23849059124532027,-0.35742107081648505,-1.301267834595813,Quality,0.23137980001502467,$125K to $149K,25-36,Have kids < 18,Male
101375,2025,-0.4841288096708418,-0.508450076426597,-0.061079038382953046,-0.5416259535439666,0.050124521924808346,Convenience,0.11120356030776139,Under $25K,37-56,No kids < 18,Male
100080,2025,0.06484198244017335,-0.2893278780895375,-0.2398373307282604,0.3795018456795918,-2.20467334240381,Selection,0.3146598632394184,$75K to $99K,37-56,Have kids < 18,Female
100187,2025,0.7837366010605312,-0.2773954867190517,-0.25676341508876954,0.01412938696520979,-1.3086996449785608,Price,0.7696072140953214,$25K to $49K,66+,No kids < 18,Female
100486,2025,-1.368016400593268,1.2734307953719934,0.28508668062616355,-0.7263285891624793,-0.39786232678781613,Quality,0.9883441147458298,$150K plus,37-56,No kids < 18,Female
100319,2025,-0.11475802518443562,0.1687111354156332,-0.9138814370542662,0.01896124787820902,-0.40529413717056406,Quality,0.1497498875374242,$50K to $74K,66+,No kids < 18,Female
101482,2025,-1.0127117180310827,-1.1741894554258094,0.12058892161964999,-0.16270172507957398,-0.8458491755004406,Digital,0.283290646699224,$150K plus,25-36,No kids < 18,Female
101082,2025,-1.1952078567633044,0.8250338110186146,-0.24006802726845405,0.19234539192291214,-0.8532809858831885,Quality,0.6326884190957025,$150K plus,25-36,Have kids < 18,Male
