outcome,predictor,coefficient,std_error,z_value,p_value,odds_ratio,significant,predictor_group,predictor_label
Convenience,age_band25-36,0.6102460873390028,0.3053445754166221,1.9985489721124508,0.045657176211528316,1.840884361379075,TRUE,Age,25-36
Convenience,age_band37-56,0.7239248967604568,0.28153294418812486,2.571368330793708,0.010129752657309199,2.062512493701216,TRUE,Age,37-56
Convenience,age_band57-65,1.0086197737559413,0.3073264311459526,3.2819167879411486,0.0010310402648898709,2.7418140784560725,TRUE,Age,57-65
Convenience,age_band66+,0.8005714640033016,0.31516379965769403,2.5401758224542887,0.011079675409888967,2.2268131084888907,TRUE,Age,66+
Convenience,kids_flagHave kids < 18,-0.6828028471466109,0.15687172078892325,-4.352619093567205,1.3452075435793631e-5,0.5051990104956319,TRUE,Children,Have kids < 18
Convenience,gender_catMale,-0.36655790513314135,0.1445300095866659,-2.5362061912362828,0.011206073188124055,0.6931160003462394,TRUE,Gender,Male
Convenience,gender_catOther or not stated,0.06043760108103887,0.4657472844610571,0.1297647954104009,0.8967525165472638,1.0623013090488849,FALSE,Gender,Other or not stated
Convenience,income_band$100K to $124K,1.2819920417236765,0.31033148497190527,4.131040850849333,3.611243942303055e-5,3.6038115228557506,TRUE,Income,$100K to $124K
Convenience,income_band$125K to $149K,1.696014552828372,0.4574660702027776,3.7074105891101223,2.093893078902731e-4,5.452174679394018,TRUE,Income,$125K to $149K
Convenience,income_band$150K plus,1.1301617482941917,0.33965650051764107,3.32736675603679,8.767090459549376e-4,3.0961572577802667,TRUE,Income,$150K plus
Convenience,income_band$25K to $49K,0.5709057861982487,0.21446292647408807,2.6620255331973515,0.0077671986341179,1.7698694489289524,TRUE,Income,$25K to $49K
Convenience,income_band$50K to $74K,0.7769838255600194,0.22399318186975853,3.468783375789531,5.228208291045977e-4,2.1749024774035575,TRUE,Income,$50K to $74K
Convenience,income_band$75K to $99K,1.137086195592819,0.24329830784665726,4.6736296921123115,2.9592268993017257e-6,3.117670834392799,TRUE,Income,$75K to $99K
Convenience,(Intercept),-0.571389419333725,0.33262691775638975,-1.7178087185120743,0.0858315107470724,0.5647402323380636,FALSE,Intercept,(Intercept)
Digital,age_band25-36,0.0449049948866957,0.24485165039762907,0.18339674171594034,0.8544867322453544,1.0459284866339262,FALSE,Age,25-36
Digital,age_band37-56,-0.7315361359042174,0.23419286585095941,-3.1236482513936514,0.001786238543542984,0.4811692806805097,TRUE,Age,37-56
Digital,age_band57-65,-0.9549344313796362,0.28596667025383604,-3.3393207345876923,8.398353657967927e-4,0.38483737698161485,TRUE,Age,57-65
Digital,age_band66+,-1.9584918496010604,0.3471413951988385,-5.641769828341156,1.6831100957404033e-8,0.14107101687779347,TRUE,Age,66+
Digital,kids_flagHave kids < 18,-0.35843534975045543,0.17310277219328035,-2.070650545967221,0.038391464906538886,0.6987687999556109,TRUE,Children,Have kids < 18
Digital,gender_catMale,-0.3012123688202719,0.15358704611887855,-1.9611834228983691,0.04985762991930942,0.7399206199909633,TRUE,Gender,Male
